run_time,spot,expiration,strike,bid,ask,last,volume,iv,delta,gamma,theta,vega
2026-07-13 18:50:16,712.87,2026-07-13,712.0,1.29,1.34,1.34,74462,0.2454,0.6684,0.18006,-0.445,0.0298
2026-07-13 18:50:16,712.87,2026-07-13,713.0,0.72,0.74,0.72,173255,0.2416,0.4752,0.20074,-0.73,0.0327
2026-07-13 18:50:16,712.87,2026-07-13,714.0,0.36,0.41,0.36,219144,0.2529,0.2945,0.16601,-0.385,0.0283
2026-07-13 18:50:16,712.87,2026-07-13,715.0,0.19,0.2,0.19,247281,0.2674,0.1672,0.11403,-0.195,0.0206
2026-07-13 18:50:16,712.87,2026-07-13,716.0,0.09,0.1,0.09,242794,0.2816,0.0889,0.06962,-0.095,0.0132
2026-07-13 18:50:16,712.87,2026-07-13,717.0,0.05,0.06,0.05,253996,0.3076,0.0519,0.04204,-0.055,0.0087
2026-07-13 18:50:16,712.87,2026-07-13,718.0,0.04,0.05,0.04,268158,0.3521,0.0388,0.02908,-0.045,0.0069
2026-07-13 18:50:16,712.87,2026-07-13,719.0,0.03,0.04,0.03,178106,0.3898,0.0285,0.02036,-0.035,0.0054
2026-07-13 18:50:16,712.87,2026-07-13,720.0,0.03,0.04,0.01,200046,0.4419,0.0255,0.01638,-0.035,0.0049
2026-07-13 18:50:16,712.87,2026-07-13,721.0,0.03,0.04,0.03,79713,0.4931,0.0232,0.01353,-0.035,0.0045
2026-07-13 18:50:16,712.87,2026-07-13,722.0,0,0.03,0.01,70862,0.4583,0.008,0.00585,-0.01,0.0018
2026-07-13 18:50:16,712.87,2026-07-13,723.0,0,0.03,0.01,28071,0.5019,0.0074,0.00497,-0.01,0.0017
2026-07-13 18:50:16,712.87,2026-07-13,724.0,0,0.03,0.01,28247,0.545,0.0069,0.00428,-0.01,0.0016
2026-07-13 18:50:16,712.87,2026-07-13,725.0,0,0.01,0.01,58170,0.5877,0.0064,0.00374,-0.01,0.0015
2026-07-13 18:50:16,712.87,2026-07-13,726.0,0,0.01,0.01,12340,0.63,0.006,0.0033,-0.01,0.0014
2026-07-13 18:50:16,712.87,2026-07-13,727.0,0,0.03,0.01,15429,0.6719,0.0057,0.00293,-0.01,0.0013
2026-07-13 20:41:36,711.46,2026-07-13,697.0,13.06,17.1,14.91,90,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,698.0,11.7,15.83,13.85,201,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,699.0,10.93,14.92,13.62,139,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,700.0,9.82,13.25,11.7,353,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,701.0,8.88,13.13,10.15,207,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,702.0,8.96,10.95,9.67,176,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,703.0,8.4,9.27,8.8,260,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,704.0,6.65,8.18,7.68,331,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,705.0,6.79,7.1,6.6,504,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,706.0,5.69,6.9,5.69,604,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,707.0,4.64,5.15,4.5,2095,4.8196,0.8288,0.05375,-0.435,0.0025
2026-07-13 20:41:36,711.46,2026-07-13,708.0,3.59,4.21,3.29,3978,4.1297,0.8047,0.06808,-0.44,0.0027
2026-07-13 20:41:36,711.46,2026-07-13,709.0,2.67,3.48,2.32,6815,3.948,0.7385,0.08397,-0.615,0.0032
2026-07-13 20:41:36,711.46,2026-07-13,710.0,1.73,2.09,1.57,38818,2.6021,0.7171,0.13249,-0.45,0.0033
2026-07-13 20:41:36,711.46,2026-07-13,711.0,0.86,0.9,0.69,75143,1.5922,0.6162,0.24441,-0.42,0.0037
2026-07-13 20:41:36,711.46,2026-07-13,712.0,0.31,0.33,0.11,178965,1.3997,0.3475,0.26896,-0.32,0.0036
2026-07-13 20:41:36,711.46,2026-07-13,713.0,0.02,0.03,0.03,309212,1.0031,0.0592,0.11966,-0.025,0.0012
2026-07-13 20:41:36,711.46,2026-07-13,714.0,0.01,0.04,0.01,308761,1.494,0.042,0.06111,-0.025,0.0009
2026-07-13 20:41:36,711.46,2026-07-13,715.0,0.01,0.04,0.01,284707,1.9581,0.0332,0.03846,-0.025,0.0007
2026-07-13 20:41:36,711.46,2026-07-13,716.0,0,0.01,0.01,266977,2.0937,0.0139,0.01722,-0.01,0.0003
2026-07-13 20:41:36,711.46,2026-07-13,717.0,0,0.01,0.01,262535,2.4854,0.0119,0.0127,-0.01,0.0003
2026-07-13 20:41:36,711.46,2026-07-13,718.0,0,0.01,0.01,272041,2.8693,0.0104,0.00983,-0.01,0.0003
2026-07-13 20:41:36,711.46,2026-07-13,719.0,0,0.03,0.01,181105,3.2467,0.0093,0.00788,-0.01,0.0002
2026-07-13 20:41:36,711.46,2026-07-13,720.0,0,0.01,0.01,201452,3.6187,0.0085,0.00649,-0.01,0.0002
2026-07-13 20:41:36,711.46,2026-07-13,721.0,0,0.01,0.01,82880,3.9858,0.0078,0.00546,-0.01,0.0002
2026-07-13 20:41:36,711.46,2026-07-13,722.0,0,0.03,0.01,71827,4.3488,0.0072,0.00466,-0.01,0.0002
2026-07-13 20:41:36,711.46,2026-07-13,723.0,0,0.03,0.01,28280,4.708,0.0067,0.00404,-0.01,0.0002
2026-07-13 20:41:36,711.46,2026-07-13,724.0,0,0.03,0.01,28706,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,725.0,0,0.03,0.01,58343,,,,,
2026-07-13 20:41:36,711.46,2026-07-13,726.0,0,0.01,0.01,13158,,,,,
